Sample.date,sampling.week,sampling.week.end,treatment,Heated,Invasion,Mesocosm,rep,A_TotalAlgae,A_Green,A_Cyanobacteria,A_Chromophytes,A_Cryptophytes
19/05/20,0,1,C,N,N,2,1,6.15,6.08,0.07,0,0
19/05/20,0,1,C,N,N,7,2,15.5,15.39,0.11,0,0
19/05/20,0,1,C,N,N,13,3,5.43,5.4,0.03,0,0
19/05/20,0,1,C,N,N,17,4,2.12,2.09,0.03,0,0
19/05/20,0,1,C,N,N,21,5,3.82,3.78,0.05,0,0
19/05/20,0,1,C,N,N,24,6,11.42,11.14,0.29,0,0
26/05/20,1,2,C,N,N,2,1,10.42,9.53,0.38,0.52,0
26/05/20,1,2,C,N,N,7,2,17.73,17.73,0,0,0
26/05/20,1,2,C,N,N,13,3,7.32,7.28,0.03,0,0
26/05/20,1,2,C,N,N,17,4,4.85,4.85,0,0,0
26/05/20,1,2,C,N,N,21,5,5.37,5.28,0.03,0.05,0
26/05/20,1,2,C,N,N,24,6,26.24,26.24,0,0,0
2/06/20,2,3,C,N,N,2,1,11.06,10.07,1,0,0
2/06/20,2,3,C,N,N,7,2,12.37,8.35,3.07,0.95,0
2/06/20,2,3,C,N,N,13,3,3.75,3.11,0.58,0.06,0
2/06/20,2,3,C,N,N,17,4,11.9,11.9,0,0,0
2/06/20,2,3,C,N,N,21,5,3.77,3.25,0.51,0,0
2/06/20,2,3,C,N,N,24,6,6.81,2.16,4.25,0.39,0
9/06/20,3,4,C,N,N,2,1,19.6,19.02,0.41,0.17,0
9/06/20,3,4,C,N,N,7,2,19.26,14.98,2.57,1.71,0
9/06/20,3,4,C,N,N,13,3,12.97,12.25,0,0.72,0
9/06/20,3,4,C,N,N,17,4,7.95,7.73,0.22,0,0
9/06/20,3,4,C,N,N,21,5,15.15,14.57,0.17,0.41,0
9/06/20,3,4,C,N,N,24,6,16.88,11.77,3.13,1.98,0
16/06/20,4,5,C,N,N,2,1,31.63,23.15,6.78,1.7,0
16/06/20,4,5,C,N,N,7,2,21.25,9.3,11.94,0,0
16/06/20,4,5,C,N,N,13,3,8.32,6.51,1.23,0.58,0
16/06/20,4,5,C,N,N,17,4,11.11,10.42,0.53,0.15,0
16/06/20,4,5,C,N,N,21,5,16.32,14,1.35,0.96,0
16/06/20,4,5,C,N,N,24,6,15.9,7.19,8.71,0,0
23/06/20,5,6,C,N,N,2,1,25.81,14.77,7.13,3.91,0
23/06/20,5,6,C,N,N,7,2,13.05,3.66,9.02,0.38,0
23/06/20,5,6,C,N,N,13,3,11.99,9.04,0.9,2.05,0
23/06/20,5,6,C,N,N,17,4,5.67,4.66,0.77,0.24,0
23/06/20,5,6,C,N,N,21,5,7.76,4.94,1.82,0.99,0
23/06/20,5,6,C,N,N,24,6,11.18,3.01,6.66,1.51,0
30/06/20,6,7,C,N,N,2,1,20.48,12.22,7.63,0.64,0
30/06/20,6,7,C,N,N,7,2,12.53,4.98,7.27,0.28,0
30/06/20,6,7,C,N,N,13,3,18.52,17.14,1.05,0.34,0
30/06/20,6,7,C,N,N,17,4,12.41,11.31,0.68,0.42,0
30/06/20,6,7,C,N,N,21,5,6.91,4.02,1.84,1.05,0
30/06/20,6,7,C,N,N,24,6,13.41,7.57,5.41,0.42,0
7/07/20,7,8,C,N,N,2,1,23.16,13.86,8.13,1.17,0
