"","wk0-m10","wk0-m11","wk0-m12","wk0-m13","wk0-m14","wk0-m15","wk0-m16","wk0-m17","wk0-m19","wk0-m2","wk0-m20","wk0-m21","wk0-m23","wk0-m24","wk0-m25","wk0-m26","wk0-m27","wk0-m3","wk0-m4","wk0-m5","wk0-m6","wk0-m7","wk0-m8","wk0-m9","wk10-m10","wk10-m11","wk10-m12","wk10-m13","wk10-m14","wk10-m15","wk10-m16","wk10-m17","wk10-m19","wk10-m2","wk10-m20","wk10-m21","wk10-m23","wk10-m24","wk10-m25","wk10-m26","wk10-m27","wk10-m3","wk10-m4","wk10-m5","wk10-m6","wk10-m7","wk10-m8","wk10-m9","wk12-m10","wk12-m11","wk12-m12","wk12-m13","wk12-m14","wk12-m15","wk12-m16","wk12-m17","wk12-m19","wk12-m2","wk12-m20","wk12-m21","wk12-m23","wk12-m24","wk12-m25","wk12-m26","wk12-m27","wk12-m3","wk12-m4","wk12-m5","wk12-m6","wk12-m7","wk12-m8","wk12-m9","wk14-m10","wk14-m11","wk14-m12","wk14-m13","wk14-m14","wk14-m15","wk14-m16","wk14-m17","wk14-m19","wk14-m2","wk14-m20","wk14-m21","wk14-m23","wk14-m24","wk14-m25","wk14-m26","wk14-m27","wk14-m3","wk14-m4","wk14-m5","wk14-m6","wk14-m7","wk14-m8","wk14-m9","wk18-m10","wk18-m11","wk18-m12","wk18-m13","wk18-m14","wk18-m15","wk18-m16","wk18-m17","wk18-m19","wk18-m2","wk18-m20","wk18-m21","wk18-m23","wk18-m24","wk18-m25","wk18-m26","wk18-m27","wk18-m3","wk18-m4","wk18-m5","wk18-m6","wk18-m7","wk18-m8","wk18-m9","wk22-m10","wk22-m11","wk22-m12","wk22-m13","wk22-m14","wk22-m15","wk22-m16","wk22-m17","wk22-m19","wk22-m2","wk22-m20","wk22-m21","wk22-m23","wk22-m24","wk22-m25","wk22-m26","wk22-m27","wk22-m3","wk22-m4","wk22-m5","wk22-m6","wk22-m7","wk22-m8","wk22-m9"
"ASV1",5.31626936292368,0,4.99367959734697,4.88649171250871,5.61095327529968,4.23654583424202,6.36590091794097,0,0,4.84324841818839,0,0,0,0,0,0,0,5.17329318643965,5.05503287170621,6.43921577531079,5.47272223761784,4.57430809212976,3.43325144454734,0,8.6798571855881,7.22853176920804,8.33128970915008,8.64379855912923,6.95474386149689,8.41397328626333,6.35831417684321,0,0,0,6.55587595679789,7.16220232771911,9.47570334069507,8.70552329674546,8.27474860812077,8.29866124448361,0,8.92238596811328,4.04443360445289,8.65556791134904,5.38044549851768,7.98523410530725,8.01669289727816,7.9873891106068,8.44530082478159,6.21443859358428,8.44070243723707,0,8.61224473274576,8.76589839295046,0,0,3.70320040951401,0,8.7516830796587,5.97130867648804,8.15897825216239,8.33342961185766,5.05507049532843,4.7642183563181,0,7.39140177190454,4.36955156671176,0,7.60503114054453,8.77135198065089,8.52829443517415,7.32869760037138,8.12656088482069,9.17796354703106,8.6637833096892,8.78384171905102,7.17505654720158,9.45442585324588,7.05628259041736,0,6.23641602592724,0,8.38246941731667,7.10683934077782,7.288481207128,8.30198935849513,4.0287434507295,0,5.32742681647486,6.3258067552868,4.1891463288986,8.05721591800826,8.2304680844236,9.02917692745788,7.57368215947306,8.38607517445965,8.16134821345507,5.90451578431835,8.96769002169063,6.56209635559623,8.11643384187624,9.17996169138452,7.69603691899724,4.28626151444093,5.47018054045912,0,9.73398403656451,6.35527691118741,8.81453489883475,8.85100922415604,4.08554678620588,6.32085981311044,4.51468382790757,6.58636022136646,8.11180871102997,7.61744915612311,6.16485531052257,8.18922832100808,7.44313672973844,7.45032376165442,8.13513661237412,4.70884653544422,8.36081679275718,8.25139810695241,7.46278228614265,8.41781105947241,7.91271072507636,5.598523151017,7.0712901889341,2.0447016470346,9.22104025507824,7.37074645705098,7.77891379153775,9.19442527541723,0,7.16838162281264,0,7.06290499248039,5.49597834190294,7.65709506344314,5.46880842253672,7.84203250956125,7.94178413727356,7.83680324702644
"ASV2",4.6816864136366,0,3.77168715995092,4.35230015205295,5.55285835948617,4.52024824463692,0,0,0,5.4150457707585,0,0,0,0,0,0,0,5.17329318643965,4.77945896590466,6.74829858206478,5.90330103459931,4.28489063895508,4.87747635717634,0,8.57495096822794,7.34027537538395,8.06120665705695,8.6019790864443,7.15218006779027,8.148836872639,6.24284666994049,0,0,0,0,7.21282609912803,9.24189703244983,8.42989367543967,8.19940513823035,0,0,8.77492075717096,4.81863324158872,8.73026408234358,5.33314743360163,7.7222072454292,8.09069163291419,7.67235659541581,8.03027246811521,6.95854780490952,8.4371794379485,0,8.59882444530931,8.68873173916689,0,0,3.84752042672563,0,8.2688680372813,5.65723715012817,7.96816063999061,7.80292806814991,4.5120596133922,4.85730577471944,0,7.2032059714659,2.90088409035631,0,7.36652788189369,8.51328811343432,7.97628810341364,7.26158623655645,7.93542424375952,8.5435906080356,8.19586926152921,8.36783963056566,6.54333618378124,9.80059858715803,7.46590907432716,0,6.29983595228996,0,8.81441288685711,7.55698647214204,7.80999977514497,8.73261589538948,4.55907795565068,0,5.90320874917925,6.68486158776578,5.2592611302028,7.86585548357602,7.9298159819713,8.64795190692302,6.69798216352654,7.78342548978292,8.51417864586636,5.73461073236408,9.06344777815326,7.10263311849824,8.23448689659488,9.34988486136352,7.61473948960655,4.61873598365049,5.28578537679279,0,9.53381850985972,6.04718241836702,8.6618633108142,8.77384250124148,4.21674235930957,6.47535761608008,4.39186425140189,6.51765232444355,8.6240045407478,8.27794480525777,6.41059085455314,8.47494443646278,7.67139767770586,7.82778526320074,7.95254978725731,5.8272938158539,8.39537332645981,7.86953697869612,7.71342432435482,8.33981010055869,7.78051991990485,5.5136462111094,6.41925411406937,2.36616655533264,8.6063389217855,6.65385579724756,7.34744094713052,8.66980771723913,5.19744892912578,7.28219648034987,0,6.41524725442306,5.81786406859475,7.22901777390531,5.95061613383048,8.06740276308319,7.72645273274845,7.98762399817336
"ASV3",3.34122046173908,0,2.77238673190964,4.66415315460061,5.45051161581962,3.71320570339703,0,0,0,3.09401349317688,0,0,0,0,0,0,0,4.01315572444294,4.438514863782,6.38722518068918,5.14561229096898,4.38795031205684,0,0,8.71213307285212,7.50120536604953,8.23583458036255,8.2149635341761,7.04784844896631,7.98837616338496,5.82785124843674,0,4.23336038230227,0,0,7.35483906211399,9.62298353414533,8.51494785822799,8.01681811321061,0,0,8.75100249513268,4.52426257874251,8.5432834547084,4.94989096584326,7.86249439112321,7.81316509652823,7.76385206978247,8.03027246811521,5.93693192749333,8.60984223413882,0,8.34386208756437,8.81755974021671,0,0,3.91460444032451,0,8.66096134881972,5.93960320292004,8.28131107564376,8.41725952946589,4.7046523216309,5.28348615991137,2.88836846570354,7.0139447152733,3.00770789695089,0,7.61870561417501,8.71427176848435,8.46006095357843,7.29553211952828,7.75645926094809,8.94461902992412,8.18647077662908,8.6431308610834,7.19537560632158,8.91631848834441,6.8970923760308,0,5.86924380466006,0,7.93996146577257,6.57183320577093,6.58225103308506,8.12183925377117,4.55907795565068,0,4.95712804797965,6.41694734645276,2.67554584680082,8.2419945630851,8.2209139892187,8.59592207940855,7.36017589441243,8.36837352553308,7.71848850468486,5.27073173291184,8.53939722340905,6.43895714059002,7.24478652474025,8.73054722251637,7.31358127803078,4.28626151444093,5.21868285031646,0,9.1170097061635,5.85128323668969,8.27562148142569,8.24333749207539,0,6.06035593174231,0,5.5177566614848,7.82493516658599,7.17106514091276,4.94264053657789,7.54487077776471,6.87866463944,7.01265689808804,7.68952310028141,0,7.63113834335566,7.49758022484389,7.57654705153755,8.20453414276822,7.30092756703549,5.1417389782476,6.14243753882275,0,8.62699804356832,6.27702983258131,7.37367143094907,8.64514606775111,0,6.9602837406227,0,5.46265775454998,4.8400547017496,6.93952531823903,5.33876824621668,8.17644292781246,7.12381163724176,7.29250189738164
"ASV4",4.95725607500343,0,3.3024710029946,5.13797876777559,5.61095327529968,3.17296852421151,0,0,0,4.72128727769069,0,0,0,0,0,0,0,4.51048270351404,4.9238157246005,6.61902390197669,4.94925446129693,4.17389855611704,3.6555174585532,0,8.33075286109292,6.89202304553313,7.89856059117389,7.42143800704918,6.36981989528378,7.80780893744269,5.93093313392261,0,3.38576995641693,0,0,6.9398210310001,9.22576115424576,8.52044374660897,8.02822258582994,0,0,8.56398747525654,4.2558587109358,8.30638335412667,5.01127862308436,7.61387815429734,7.79557155809891,7.73124840977483,7.89277260138593,6.7253621140696,8.21655418314251,0,8.29476855662375,8.47556153724321,0,0,3.97870721920179,0,8.18934945407214,5.80531730748405,7.92376771372783,7.93880764796082,4.47025175956644,5.41178936735457,0,7.02736454610884,2.6601085994092,0,7.72367176022633,8.33964337268244,8.23355703905248,6.99856429161547,7.70096588221031,8.9195719517024,8.32995926321036,8.53992013190355,7.04673860425559,8.96048547499333,6.7181328290508,0,5.61873136011475,0,7.75259672927727,6.48069187183479,6.47728900355386,8.00340073305434,3.44407372215929,0,4.59966259375833,6.86829663337195,4.39071183701845,7.85558744087018,7.72201717122763,8.51202230137029,7.26883938609765,7.61350591264865,7.58784295456442,5.47880666410803,8.55830535137377,5.86826197322229,7.31468555659899,8.6479289324085,7.18805585951457,4.70117652749249,5.34990505943554,0,9.14979925435266,5.15748863888224,8.31881826076225,8.27728409029328,1.50339531342605,5.66526312463988,0,6.11433028855908,7.84878121732973,7.05559345175259,5.32108042156529,7.81653531424714,6.88878828857536,6.83816868599625,7.4671383977409,0,7.59442780792671,7.67481449378908,6.78622173741062,7.80732819314131,7.56902268027657,5.11317524178053,6.96550093388017,1.04701424218139,8.45664867108927,6.73446909750578,7.15669374901549,8.57832909318804,0,6.80275132227097,0,5.93466569869346,5.08101145213635,7.12008840056256,5.25471815468779,7.63236784706381,7.35076680979759,7.52953185464387
"ASV5",3.52168175332045,0,3.99397960089383,4.49427528118396,5.36306243810723,4.10534959380123,0,0,0,4.02636617323414,0,0,0,0,0,0,0,3.83266240808905,4.07607073425509,6.04533615599617,4.85616568552125,4.48413617033813,0,0,8.41159564312895,7.02060038765625,8.10816898958397,7.90684889972322,6.9157518414009,8.30462809716398,6.07293744787956,0,4.56583108459715,0,0,6.81429722815125,9.15005235477121,7.80346961270611,7.92625329491963,0,0,8.72444948830056,4.04443360445289,8.43781824737055,4.7483034979669,7.63359572638619,7.60672075891916,7.66374374575368,8.13562289288644,6.53634093886276,8.52609234711417,0,8.41194972089347,8.36085210114956,0,0,3.15605125028054,0,8.32247165032588,5.14830364484486,7.93871764929544,8.03292736444936,4.55268996042402,5.14264879803334,2.59914861575017,6.52043541465884,2.20124372864722,0,7.21272906334563,8.47942993076037,8.17466467349502,6.92817870196044,7.00584890675328,8.40247846352253,7.79945775122734,8.05657289715605,6.35748373233968,9.33927147516663,7.40803037193941,0,6.0086317976336,0,8.29479569401649,7.17625748324164,6.9490109652908,8.69011183889121,4.63120796000872,0,5.3808574176915,6.47465845660864,4.45209339386228,7.91612728646977,7.6877483576404,8.17817337718411,6.75294518038501,8.09461875819519,8.25042975738299,5.73461073236408,8.66333904123355,6.42460294953419,6.89966807492236,8.93949107806824,7.22504840718203,4.57567905229021,4.73335870760542,0,8.94352908542349,5.79785022661495,8.24010796368904,8.34997780413185,0,5.83296989385704,0,6.11433028855908,7.78099312303358,7.32147541519513,4.28385740581647,7.98884608846263,7.22075346465164,7.24802381543025,7.36760658356473,0,7.89537245952527,7.35913878324207,6.97441487872161,8.06066232893822,7.56902268027657,4.75479917068292,5.99660106953183,0,7.88890858282135,6.06894076676822,6.66675485882503,7.83157728273883,0,7.0091907819273,0,5.83034076108423,5.08101145213635,7.21584296981197,4.85886854639342,7.68770906750921,7.04699978890701,7.38399650424206
"ASV6",3.75602216834071,0,3.77168715995092,4.07937915212951,4.91773530174176,4.61975614609394,0,0,0,4.67822953742287,0,0,0,0,0,0,0,4.73281520808018,4.19467048729817,6.3194860651425,4.82375170903403,3.53034021355202,4.16986305632045,0,8.27134062400151,7.11789278693826,7.53600195917471,7.42143800704918,6.74830484096561,8.34936548865906,6.11732726379603,0,4.28580965173215,0,0,6.79227222875125,8.96095870071564,8.11815775119737,7.74920396150336,0,0,8.52091951887595,4.60367479144155,8.29747798790365,4.01157499013837,7.37708399593968,7.86469390561544,7.49921366945006,7.86852573695512,5.89254268473864,8.1578330792322,0,8.23818624603397,8.390395787276,7.01380970014468,0,1.45802087056451,0,8.0373499997652,5.80531730748405,7.46810285377555,7.69190018070928,4.28973701389237,4.61225434783693,0,6.5392930894207,3.52192453723529,0,7.36652788189369,8.20340038782722,8.08155747492633,6.55113250148641,7.33233466532305,8.17162936637484,7.52901472225049,7.826930855971,5.7635354870672,9.273683820046,7.19963997056517,0,5.84818459423767,0,8.2014472526971,6.88784092913728,7.47041433894708,8.12892851031562,3.79751974852147,0,4.4576843743042,5.80229693999444,4.62196986917194,7.83482947892725,7.72201717122763,8.10560645397446,6.69798216352654,7.5521074905315,7.9594896207157,5.41272752231201,8.30426461203911,6.06618036871966,7.37201639191801,8.55727544003232,7.17865759002611,3.92383140022026,5.21868285031646,0,8.97000094372301,5.52939653992042,8.13284943749751,7.83592347189325,1.50339531342605,5.17595435906825,0,6.22621287030566,7.86290192161989,7.37750717309847,5.89358085683049,8.17250161658571,7.32135308840548,7.35271679155381,7.35899379990969,0,7.70187054744415,7.4201043909602,7.33927259386784,7.82652119430105,6.89266726559337,4.75479917068292,5.93387196880412,1.36801796561976,8.16329586466075,6.21094642087194,6.79845232813024,8.03510515441848,0,6.67217532503371,0,6.43909216001459,4.8400547017496,7.12008840056256,4.65538506565152,7.75587842993776,7.24666278924899,7.24891449950581
"ASV7",3.24175214691052,0,3.60184963282953,4.13825022334334,5.19598097727824,3.80062567485466,0,0,0,4.67822953742287,0,0,0,0,0,0,0,4.73281520808018,3.26914077125924,5.94101035283891,4.40882672081324,3.70017329668205,0,0,8.14935282987067,6.31320048156011,7.44136857743221,6.97399930996406,6.31093102293516,7.9158656042092,6.02713833932867,0,0,0,0,6.26179584787566,8.66058461869714,7.81245813012053,7.39123366622335,0,0,8.02569783820373,3.25635892657008,8.01194283344532,3.88609798316448,7.02562749053841,7.53431478795689,6.95249484004217,7.62974624094863,5.8467441863217,8.0604386544173,0,7.9234613711586,8.18094687349738,0,0,3.54282206763955,4.92534118547572,7.96616079271216,4.5354694645471,6.89343511135127,7.69190018070928,4.55268996042402,4.02748724811647,0,6.5392930894207,2.52275624106982,0,6.86809828331939,8.1422016369005,7.59721299571704,6.76006564569781,7.58313330229893,8.21344859472428,7.74927351317408,7.98232023909697,6.46181225766281,9.07540344411915,6.94439550330081,0,5.76073212493562,0,7.44899089664633,6.52698214356714,6.78277107262264,7.84882790961722,3.44407372215929,0,4.99188613876505,5.93156527268345,2.67554584680082,7.45423811833722,7.48716144362467,8.16174820721377,6.33343620471469,7.88651599001226,7.26763555224343,5.43509188273519,8.52023798865694,6.30431839350532,7.53985174032606,8.6479289324085,6.8401504366441,4.05502116694666,4.95569978808253,0,9.23521639522173,6.04718241836702,7.93049433349584,8.33214487548979,3.5514627171676,5.47546505690272,0,5.96750368548836,7.52686349054957,7.62903674091516,6.1853175363502,7.5642354200016,6.34366384014903,6.97566461367208,7.79545326623115,2.90240501412607,7.80186326253079,7.59774083837593,7.11285469195863,7.67945732643245,7.43657722532729,5.46925863104373,6.94973445865946,3.13093791973536,8.18667825593868,5.96585782242859,6.78873775362537,8.4736686137856,0,6.76052563043499,0,6.09334716363453,4.79567101234559,6.89061840354173,4.31153278674227,7.4972849537898,7.18654447564552,7.24003673615011
"ASV8",4.43382873758733,0,3.60184963282953,3.58211229245232,4.78944062445548,4.29792525002735,0,0,0,3.33484938489706,0,0,0,0,0,0,0,4.17355807946538,4.15621044800499,5.6191211599679,3.94956384409164,4.17389855611704,0,0,7.67333786369757,6.59436094348389,7.23115949825893,8.09948899808141,6.15224727882842,6.93070138580505,5.82785124843674,0,0,0,0,6.74718707754647,8.6671174817931,7.62109863701835,7.09123351203506,0,0,8.02206850721215,4.49678983109572,8.12699837152682,4.7483034979669,7.14949311145836,7.46922214003382,7.07447910568723,7.3782166686091,5.64745998783228,7.42658631221466,0,7.62997056918037,7.96231197778048,0,0,3.26288986837468,0,7.36143558740473,5.20274144518567,7.26956514087234,7.38195580895142,3.38327396648281,2.66583781064754,0,6.57628469463934,2.52275624106982,0,6.5912753903155,7.70129760249016,7.42261482540579,6.26164853940622,6.78346888339071,7.68706416928825,7.09904485460702,7.4175537356172,6.20549359368367,9.38590209105526,7.52155505770248,0,6.4045248366344,0,8.0382609749535,6.73847211182184,7.34923271638303,8.33301560959555,3.52203001290227,0,4.95712804797965,5.60967633531379,3.18967020765047,7.1013722020256,7.31823905409314,7.97381990147045,6.51928841927206,7.6284557508296,7.51060268884126,5.5624525157512,8.68758619446715,6.48118219735328,7.43614422003759,8.52059543025974,6.77927179111924,3.85347356168434,4.78065282952604,0,9.19538530512946,5.95255534561145,8.03780454838787,7.98944016897975,3.33746833585422,5.38236997704752,0,6.42689363599654,8.33419619509774,7.76128030890454,5.62059586429055,7.63309492364754,6.89884139299142,6.83816868599625,7.82076360633719,4.16469354096229,7.45395164364049,7.28459491789457,6.662847055787,7.6366032536168,7.03383582810453,4.46947440276823,6.37271519066166,4.36477565615603,7.99337503185241,6.01831977965664,6.39949013244037,7.91646378202743,0,7.09098078242486,0,5.93466569869346,4.74987842546292,6.69561408300492,5.00322708030139,7.39648814230097,7.2758078758539,7.52222731668286
"ASV9",4.60370459472523,0,3.18707450879874,4.24924132492603,5.51278665664256,4.52024824463692,0,0,0,3.88203800918302,0,0,0,0,0,0,0,3.73317465273205,4.438514863782,6.06201323327642,5.24687731739208,3.61775439326052,4.12097176846855,0,8.18198308103988,6.09690202309258,7.38315622840139,7.90684889972322,5.8552962645531,7.14887055710181,5.07307945066415,0,0,0,0,6.76990576349249,8.13757853154482,6.94100815061373,7.32496312394516,0,0,8.03653136965298,2.88468427222041,7.78864897143683,3.74865910556383,7.42312955681463,7.70423405902606,7.46987079368975,7.27130588516921,6.28482179067894,7.15357939515839,0,7.65612199000592,7.76592035536123,0,0,2.45628139815569,0,7.64002604085936,4.84024552781841,6.98269762446163,7.2312832066258,4.08336132350456,4.55782159607009,0,6.46233673987816,2.52275624106982,0,7.17620483990683,8.05293645882216,7.68423316781867,6.99856429161547,7.43794066575012,7.73952993232512,7.82391007369057,8.03224417850238,6.16485531052257,7.90884394582669,5.89717258533688,0,5.404637683651,0,7.02091614600156,5.20520954129665,5.79382769832183,7.41072151273894,2.08288265556043,0,5.09140178387206,5.3873165440244,4.86702170589981,7.38453184536605,7.30925064527643,8.16724406802968,6.75294518038501,7.52039976282731,7.3343588617838,4.58282705598323,7.9158715831106,5.63880834370431,7.38135388415,7.8213324488917,6.46047113240889,3.23234118517137,5.07431996427022,0,8.90563299450406,5.23993591854475,8.19445026341786,8.38153190408187,3.82262497931745,6.01455686331476,3.98762130072484,5.96750368548836,7.32405443246245,7.05559345175259,4.98993622374822,7.24231995369156,6.54911733229299,6.73125990948019,7.70998655054567,3.90176572468516,7.76929637823681,7.86223238558695,7.29008709182197,8.08742858026545,6.99668473296873,4.96120283689448,6.70874042062133,1.8523872802113,8.77626119754776,6.6203054714828,7.65070785483535,8.83973011031265,3.26529706860211,6.76052563043499,0,6.39100160678512,5.08101145213635,6.42498552533054,5.1344456939765,7.64839742445676,7.77489159725013,7.27522464069605
"ASV10",3.68205882116226,0,3.06163901815694,3.58211229245232,4.91773530174176,4.23654583424202,0,0,0,3.88203800918302,0,0,0,0,0,0,0,2.7338931393674,3.75428431324829,6.12685808781977,4.11942010240077,4.11502693298268,0,0,7.74372496132676,6.23824483602042,7.37464506742104,7.42143800704918,8.10092235189613,7.83951686961883,5.6579472851917,0,0,0,0,6.52480948866156,8.80580349074655,7.27597627584971,7.42037887287881,0,0,7.97027523638889,3.38180645744238,7.65559161919722,6.04087472361085,7.19443845190636,7.16111269062687,7.02153287741852,7.44532825235827,7.77506844079314,7.78914404227228,0,7.46224907386289,7.94913694072236,0,0,4.91428746940768,0,7.91473394135739,5.20274144518567,7.18432162580052,7.51836983565277,4.13778822281654,3.945059566334,4.59796514953327,8.24971508813836,2.37093787310226,0,7.02009319263364,7.90207376172128,7.36231669363268,6.62419092913371,6.98276649345114,8.29361720233899,7.76198417515095,7.84938505651974,5.73605813486808,8.45057346390359,6.07772595880256,0,5.34575339791789,0,7.46192946382434,6.18597287070122,6.58225103308506,7.2894201451074,2.9749261421973,0,4.12337881599301,5.80229693999444,0,7.38453184536605,6.74223907585994,7.90311882028868,8.64440863865686,8.13705301074556,7.47407815711904,3.87258748171988,7.99016337840277,5.75809204417054,7.10524157427295,8.25632736126093,6.42910934745735,4.28626151444093,3.41196952636303,0,8.8033534088414,5.62454056098899,7.91368650505514,8.02982825447943,0,5.5198526650378,0,5.4081486435454,7.33084331800901,6.68566484909961,5.35760031916003,7.39431673286867,6.37280783148395,6.70889350243986,7.21370041756304,0,7.76269384442931,7.49758022484389,6.80967931313967,7.62203094027856,6.79506210108423,4.22444180810363,6.44197244514041,0,8.33216909274607,6.36068081623209,6.93682795658759,8.42741389906742,0,6.67217532503371,0,5.59590515709406,4.5506222506623,7.21584296981197,4.3659627406667,7.03122002779595,6.92964896507361,7.11936077151197
