"","E-wk0-m10","E-wk0-m11","E-wk0-m12","E-wk0-m13","E-wk0-m14","E-wk0-m15","E-wk0-m16","E-wk0-m17","E-wk0-m19","E-wk0-m2","E-wk0-m20","E-wk0-m21","E-wk0-m23","E-wk0-m24","E-wk0-m25","E-wk0-m26","E-wk0-m27","E-wk0-m3","E-wk0-m4","E-wk0-m5","E-wk0-m6","E-wk0-m7","E-wk0-m8","E-wk0-m9","E-wk10-m10","E-wk10-m11","E-wk10-m12","E-wk10-m13","E-wk10-m14","E-wk10-m15","E-wk10-m16","E-wk10-m17","E-wk10-m19","E-wk10-m2","E-wk10-m20","E-wk10-m21","E-wk10-m23","E-wk10-m24","E-wk10-m25","E-wk10-m26","E-wk10-m27","E-wk10-m3","E-wk10-m4","E-wk10-m5","E-wk10-m6","E-wk10-m7","E-wk10-m8","E-wk10-m9","E-wk12-m10","E-wk12-m11","E-wk12-m12","E-wk12-m13","E-wk12-m14","E-wk12-m15","E-wk12-m16","E-wk12-m17","E-wk12-m19","E-wk12-m2","E-wk12-m20","E-wk12-m21","E-wk12-m23","E-wk12-m24","E-wk12-m25","E-wk12-m26","E-wk12-m27","E-wk12-m3","E-wk12-m4","E-wk12-m5","E-wk12-m6","E-wk12-m7","E-wk12-m8","E-wk12-m9","E-wk14-m10","E-wk14-m11","E-wk14-m12","E-wk14-m13","E-wk14-m14","E-wk14-m15","E-wk14-m16","E-wk14-m17","E-wk14-m19","E-wk14-m2","E-wk14-m20","E-wk14-m21","E-wk14-m23","E-wk14-m24","E-wk14-m25","E-wk14-m26","E-wk14-m27","E-wk14-m3","E-wk14-m4","E-wk14-m5","E-wk14-m6","E-wk14-m7","E-wk14-m8","E-wk14-m9","E-wk18-m10","E-wk18-m11","E-wk18-m12","E-wk18-m13","E-wk18-m14","E-wk18-m15","E-wk18-m16","E-wk18-m17","E-wk18-m19","E-wk18-m2","E-wk18-m20","E-wk18-m21","E-wk18-m23","E-wk18-m24","E-wk18-m25","E-wk18-m26","E-wk18-m27","E-wk18-m3","E-wk18-m4","E-wk18-m5","E-wk18-m6","E-wk18-m7","E-wk18-m8","E-wk18-m9","E-wk22-m10","E-wk22-m11","E-wk22-m12","E-wk22-m13","E-wk22-m14","E-wk22-m15","E-wk22-m16","E-wk22-m17","E-wk22-m19","E-wk22-m2","E-wk22-m20","E-wk22-m21","E-wk22-m23","E-wk22-m24","E-wk22-m25","E-wk22-m26","E-wk22-m27","E-wk22-m3","E-wk22-m4","E-wk22-m5","E-wk22-m6","E-wk22-m7","E-wk22-m8","E-wk22-m9"
"ASV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38895035765627,0,0,5.39720846297675,0,5.11699661480134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17648790586718,0,0,8.41158579666897,0,0,0,0,8.48705881977625,0,0,0,0,6.32547906587608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94316640852381,7.21556616878878,0,7.93783157785501,0,9.15896816644974,0,6.31949910068795,7.01229954711963,0,0,4.95845911230348,0,8.43126659292386,0,0,0,0,0,0,0,0,10.7573155163059,0,10.7063949292428,6.29581895897988,0,10.8100004814836,0,9.72529999219351,0,5.19908570447355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86298347972907,0
"ASV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37243109961188,0,0,5.74914425132941,0,5.01573348765649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57204748767029,0,0,0,0,8.37516810726605,0,0,0,0,6.21757306635455,0,0,0,0,4.24254538832899,0,0,0,0,0,0,0,0,5.71125669712558,0,7.16189541005861,7.35642266878407,0,7.91645851407922,0,9.57050572944413,0,5.90860579086041,6.86484025511345,0,0,0,0,8.21775677922087,0,0,0,0,0,0,0,0,10.640825882183,0,10.4571521001475,6.14489059899,0,10.7468120505747,0,9.5103358571556,0,5.61405757542555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61303657308492,0
"ASV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31595949222191,4.57901715681364,0,5.39720846297675,0,4.48243462771098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31864970984642,0,0,0,0,8.16051599436861,0,0,0,0,6.23151101128324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74505080203084,7.15071800765835,0,7.87273836486844,0,8.8742677626335,0,6.37986676996777,6.75044771050415,0,0,4.83984119931755,0,8.21775677922087,0,0,0,0,0,0,0,0,10.6092866120238,1.0437756181164,10.6406110030437,5.92781460840299,0,10.6063108978763,0,9.52021467595528,0,5.2694625320765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71342522416476,0
"ASV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11548153534362,0,0,5.50681621082028,0,4.84912011654403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64166843476493,0,0,0,0,8.16436822998477,0,0,0,0,6.11604448889452,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28235322158312,0,6.61486056983141,7.06533065471996,0,7.79121087153717,0,9.03356577512165,0,6.28202757284195,6.6860030947375,0,0,0,0,8.03393995358725,0,0,0,0,0,0,0,0,10.5261577529011,0,10.4221538006035,5.4837717431484,0,10.4873827868533,0,9.40189583129791,0,4.99267521144321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59998221144943,0
"ASV5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50329757950491,5.14423649178481,4.54154891805524,0,0,0,0,0,0,0,0,0,0,0,2.77080680510122,0,0,0,0,0,0,0,0,0,6.54417982404093,8.68944426862006,5.10281948354063,0,0,0,0,0,11.52034859498,0,0,0,0,0,0,5.03617037112618,0,9.97249117573034,0,0,5.96463069415488,0,9.92311955785691,0,8.33737093530578,4.57138182563676,7.3447767969885,6.48944578158933,0,0,0,0,0,0,5.51718917872299,4.8857648913669,0,0,2.44088576452271,9.0197952026069,5.44915380528623,5.99534955244316,0,0,11.2804184832092,0
"ASV6",0,0,0,0,0,0,0,0,0,0,0,0,0,5.73263937964571,4.98854718007118,0,0,0,0,0,0,0,0,4.65823353488811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87624835369552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37005162279779,5.19398028369773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89117320713677,0,0,0,0,0,0,6.37913310312455,8.86581111876044,6.18608728971268,0,0,0,0,0,11.6021929922081,0,0,0,0,0,0,0,0,9.86339403371502,0,0,5.90091207028109,0,9.96966182844734,0,8.57964217168083,6.10716896670326,7.6700835042637,6.85507122441022,0,0,0,0,7.10057797739598,0,4.99943179524403,0,0,0,0,8.82913947707641,5.61905428066643,6.09603336104604,0,0,11.0939706235964,0
"ASV7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39334852109577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43821236362787,4.92610083916599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63249807751905,8.67883634145141,5.41088781272753,0,0,0,0,0,11.0446364837072,0,0,0,0,0,0,4.93526275789557,0,9.66095201280281,0,0,5.99981640166991,0,9.80567094061089,0,8.34832100941234,4.83434863303011,7.04392407443127,6.34360633318651,0,0,0,0,0,0,5.49410896180936,0,0,0,0,8.71344341772879,5.30715763446118,5.96016385646609,0,0,11.1540973743556,0
"ASV8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69163486716886,0,0,0,0,0,0,0,0,4.5802522384209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80828376272341,4.39899375819147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65769734951743,0,0,0,0,0,0,6.33474260434588,8.82550371580811,5.32517181600738,0,0,0,0,0,11.1763457540691,0,0,0,0,0,0,0,0,9.91463991272475,0,0,5.93766656011648,0,9.6745683963571,0,8.461066209588,6.10716896670326,7.22079340388343,6.18134904074634,0,0,0,0,6.75267383785713,0,4.44703144415689,0,0,0,0,8.67566737645235,5.33181556054623,5.70780630719767,0,0,11.0020637391979,0
"ASV9",0,3.29606432550064,0,0,0,0,0,0,0,0,0,0,0,0,3.37026632719422,4.63166785306474,0,0,0,0,0,0,0,0,7.57918562878014,7.4710257063802,7.5852499091228,7.24146808731082,7.569912243725,0,0,6.2067817372402,0,0,7.20063819492428,4.65634072175477,6.53915287926626,4.98441486120349,5.80993143520722,5.91727762929245,0,7.00544224334718,0,5.91804390847912,0,7.38348690982086,6.31660235339217,6.95971019223173,6.38878063234681,6.57404430072325,7.3122790520035,6.7599890484235,8.00984022975863,8.75560307588694,0,6.16611506539887,4.82355960653986,3.8404657093905,7.3450082494523,0,7.50019808877011,0,0,6.95220373899369,5.68495417589863,7.62460829186031,0,7.1825488599604,0,7.44654163179785,0,7.41173669508538,5.5467377166624,5.68087806228878,7.34641871140861,5.61505128782987,7.2247255915338,7.10719911596324,5.44019737728525,0,0,7.15852605925986,7.39081841548329,0,6.37324908921358,7.57375752047206,0,0,5.33597899375302,4.12346244011541,6.26242112187134,4.53602703111128,0,7.39347653908469,4.46869044352936,5.95807139988592,4.80691018517251,0,7.74970542640825,7.56249907001626,6.96768629757512,7.72888010866705,5.4238097519857,0,5.66002396514025,0,4.32371712322169,0,6.10498681693602,6.74350382594124,0,1.20690187668187,0,4.8928368996393,0,3.53868333220465,0,7.23060838099329,0,7.52481322808179,4.93610379807734,0,6.73588621513828,6.22645679242623,5.10553166386329,7.59630348535474,0,7.85162140440395,0,5.80701638956052,0,0,7.416272073974,6.54265440084234,0,8.52119069284649,5.34623675542955,0,5.17712007100736,5.66474317634946,0,0,2.27984185146548,7.58987174107739
"ASV10",4.01013073300362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62338634457415,0,0,7.59264742019866,7.48388737486936,7.0338633452837,7.73894915850776,7.62729774657847,0,6.09614405314595,5.94964937249802,0,0,0,3.65672303088848,6.68353291278687,6.3154372015723,6.18270155353242,5.94733157301381,0,6.64876978293372,0,6.32608935252895,0,7.36671187257847,0,6.76081757662808,6.28259001981379,6.85331024369978,7.23546677328305,7.28352392375979,7.6831206582767,8.77958157102775,0,6.44812658657906,0,3.07042254628647,7.69440432190095,0,7.60967267291926,7.95657035255505,0,7.00769591273165,5.59084463556976,7.416029271516,0,6.90478196455902,0,7.24529169987923,4.68922326290362,7.58704847453074,0,5.53115150297762,7.71944861984209,5.98365151402114,7.37331577324518,0,0,0,0,0,7.28894300608195,0,6.63626410614435,6.98882032934876,0,2.90500552717229,4.59291528784914,2.58394960177174,6.22090552018414,5.94015863295581,0,7.38816295083935,5.10080411677979,6.10691957757739,4.97288269096032,0,7.78312740180615,7.34491593990727,6.90997394453889,7.681575909206,4.56984204402721,0,0,5.81755119062315,5.5278030237303,0,5.74245676652381,6.78817013134471,0,2.94094283076218,0,4.47071424867868,0,4.21644407746589,0,7.16695264055454,0,6.96412314742149,4.81583695423307,0,6.73588621513828,5.89306654390192,0,7.56373676068198,0,7.67265677775337,0,5.2452195195249,6.15126947041918,0,7.38524640570729,6.72941035128965,0,8.49529963505498,5.37794046184069,3.1994874833833,5.06393121797035,0,0,6.68143131636267,3.40429718007454,7.74952316292022
