Sample.date,sampling.week,treatment,Heated,Invasion,Mesocosm,Sample,rep
23/03/21,44,I,N,Y,19,w44_m19,5
23/03/21,44,H,Y,N,20,w44_m20,3
23/03/21,44,C,N,N,21,w44_m21,5
23/03/21,44,H,Y,N,23,w44_m23,4
23/03/21,44,C,N,N,24,w44_m24,6
23/03/21,44,I,N,Y,25,w44_m25,6
23/03/21,44,H,Y,N,26,w44_m26,5
23/03/21,44,H,Y,N,27,w44_m27,6
6/04/21,46,C,N,N,2,w46_m2,1
6/04/21,46,HI,Y,Y,3,w46_m3,1
6/04/21,46,HI,Y,Y,4,w46_m4,2
6/04/21,46,I,N,Y,5,w46_m5,1
6/04/21,46,HI,Y,Y,6,w46_m6,3
6/04/21,46,C,N,N,7,w46_m7,2
6/04/21,46,HI,Y,Y,8,w46_m8,4
6/04/21,46,I,N,Y,9,w46_m9,2
6/04/21,46,HI,Y,Y,10,w46_m10,5
6/04/21,46,HI,Y,Y,11,w46_m11,6
6/04/21,46,I,N,Y,12,w46_m12,3
6/04/21,46,C,N,N,13,w46_m13,3
6/04/21,46,I,N,Y,14,w46_m14,4
6/04/21,46,H,Y,N,15,w46_m15,1
6/04/21,46,H,Y,N,16,w46_m16,2
6/04/21,46,C,N,N,17,w46_m17,4
6/04/21,46,I,N,Y,19,w46_m19,5
6/04/21,46,H,Y,N,20,w46_m20,3
6/04/21,46,C,N,N,21,w46_m21,5
6/04/21,46,H,Y,N,23,w46_m23,4
6/04/21,46,C,N,N,24,w46_m24,6
6/04/21,46,I,N,Y,25,w46_m25,6
6/04/21,46,H,Y,N,26,w46_m26,5
6/04/21,46,H,Y,N,27,w46_m27,6
20/04/21,48,C,N,N,2,w48_m2,1
20/04/21,48,HI,Y,Y,3,w48_m3,1
20/04/21,48,HI,Y,Y,4,w48_m4,2
20/04/21,48,I,N,Y,5,w48_m5,1
20/04/21,48,HI,Y,Y,6,w48_m6,3
20/04/21,48,C,N,N,7,w48_m7,2
20/04/21,48,HI,Y,Y,8,w48_m8,4
20/04/21,48,I,N,Y,9,w48_m9,2
20/04/21,48,HI,Y,Y,10,w48_m10,5
20/04/21,48,HI,Y,Y,11,w48_m11,6
20/04/21,48,I,N,Y,12,w48_m12,3
20/04/21,48,C,N,N,13,w48_m13,3
20/04/21,48,I,N,Y,14,w48_m14,4
20/04/21,48,H,Y,N,15,w48_m15,1
20/04/21,48,H,Y,N,16,w48_m16,2
20/04/21,48,C,N,N,17,w48_m17,4
20/04/21,48,I,N,Y,19,w48_m19,5
20/04/21,48,H,Y,N,20,w48_m20,3
20/04/21,48,C,N,N,21,w48_m21,5
20/04/21,48,H,Y,N,23,w48_m23,4
20/04/21,48,C,N,N,24,w48_m24,6
20/04/21,48,I,N,Y,25,w48_m25,6
20/04/21,48,H,Y,N,26,w48_m26,5
20/04/21,48,H,Y,N,27,w48_m27,6
4/05/21,50,C,N,N,2,w50_m2,1
4/05/21,50,HI,Y,Y,3,w50_m3,1
4/05/21,50,HI,Y,Y,4,w50_m4,2
4/05/21,50,I,N,Y,5,w50_m5,1
4/05/21,50,HI,Y,Y,6,w50_m6,3
4/05/21,50,C,N,N,7,w50_m7,2
4/05/21,50,HI,Y,Y,8,w50_m8,4
4/05/21,50,I,N,Y,9,w50_m9,2
4/05/21,50,HI,Y,Y,10,w50_m10,5
4/05/21,50,HI,Y,Y,11,w50_m11,6
4/05/21,50,I,N,Y,12,w50_m12,3
4/05/21,50,C,N,N,13,w50_m13,3
4/05/21,50,I,N,Y,14,w50_m14,4
4/05/21,50,H,Y,N,15,w50_m15,1
4/05/21,50,H,Y,N,16,w50_m16,2
4/05/21,50,C,N,N,17,w50_m17,4
4/05/21,50,I,N,Y,19,w50_m19,5
4/05/21,50,H,Y,N,20,w50_m20,3
4/05/21,50,C,N,N,21,w50_m21,5
4/05/21,50,H,Y,N,23,w50_m23,4
4/05/21,50,C,N,N,24,w50_m24,6
4/05/21,50,I,N,Y,25,w50_m25,6
4/05/21,50,H,Y,N,26,w50_m26,5
4/05/21,50,H,Y,N,27,w50_m27,6
18/05/21,52,C,N,N,2,w52_m2,1
18/05/21,52,HI,Y,Y,3,w52_m3,1
18/05/21,52,HI,Y,Y,4,w52_m4,2
18/05/21,52,I,N,Y,5,w52_m5,1
18/05/21,52,HI,Y,Y,6,w52_m6,3
18/05/21,52,C,N,N,7,w52_m7,2
18/05/21,52,HI,Y,Y,8,w52_m8,4
18/05/21,52,I,N,Y,9,w52_m9,2
18/05/21,52,HI,Y,Y,10,w52_m10,5
18/05/21,52,HI,Y,Y,11,w52_m11,6
18/05/21,52,I,N,Y,12,w52_m12,3
18/05/21,52,C,N,N,13,w52_m13,3
18/05/21,52,I,N,Y,14,w52_m14,4
18/05/21,52,H,Y,N,15,w52_m15,1
18/05/21,52,H,Y,N,16,w52_m16,2
18/05/21,52,C,N,N,17,w52_m17,4
18/05/21,52,I,N,Y,19,w52_m19,5
18/05/21,52,H,Y,N,20,w52_m20,3
18/05/21,52,C,N,N,21,w52_m21,5
18/05/21,52,H,Y,N,23,w52_m23,4
18/05/21,52,C,N,N,24,w52_m24,6
18/05/21,52,I,N,Y,25,w52_m25,6
18/05/21,52,H,Y,N,26,w52_m26,5
18/05/21,52,H,Y,N,27,w52_m27,6
1/06/21,54,C,N,N,2,w54_m2,1
1/06/21,54,HI,Y,Y,3,w54_m3,1
1/06/21,54,HI,Y,Y,4,w54_m4,2
1/06/21,54,I,N,Y,5,w54_m5,1
1/06/21,54,HI,Y,Y,6,w54_m6,3
1/06/21,54,C,N,N,7,w54_m7,2
1/06/21,54,HI,Y,Y,8,w54_m8,4
1/06/21,54,I,N,Y,9,w54_m9,2
1/06/21,54,HI,Y,Y,10,w54_m10,5
1/06/21,54,HI,Y,Y,11,w54_m11,6
1/06/21,54,I,N,Y,12,w54_m12,3
1/06/21,54,C,N,N,13,w54_m13,3
1/06/21,54,I,N,Y,14,w54_m14,4
1/06/21,54,H,Y,N,15,w54_m15,1
1/06/21,54,H,Y,N,16,w54_m16,2
1/06/21,54,C,N,N,17,w54_m17,4
1/06/21,54,I,N,Y,19,w54_m19,5
1/06/21,54,H,Y,N,20,w54_m20,3
1/06/21,54,C,N,N,21,w54_m21,5
1/06/21,54,H,Y,N,23,w54_m23,4
1/06/21,54,C,N,N,24,w54_m24,6
1/06/21,54,I,N,Y,25,w54_m25,6
1/06/21,54,H,Y,N,26,w54_m26,5
1/06/21,54,H,Y,N,27,w54_m27,6
15/06/21,56,C,N,N,2,w56_m2,1
15/06/21,56,HI,Y,Y,3,w56_m3,1
15/06/21,56,HI,Y,Y,4,w56_m4,2
15/06/21,56,I,N,Y,5,w56_m5,1
15/06/21,56,HI,Y,Y,6,w56_m6,3
15/06/21,56,C,N,N,7,w56_m7,2
15/06/21,56,HI,Y,Y,8,w56_m8,4
15/06/21,56,I,N,Y,9,w56_m9,2
15/06/21,56,HI,Y,Y,10,w56_m10,5
15/06/21,56,HI,Y,Y,11,w56_m11,6
15/06/21,56,I,N,Y,12,w56_m12,3
15/06/21,56,C,N,N,13,w56_m13,3
15/06/21,56,I,N,Y,14,w56_m14,4
15/06/21,56,H,Y,N,15,w56_m15,1
15/06/21,56,H,Y,N,16,w56_m16,2
15/06/21,56,C,N,N,17,w56_m17,4
15/06/21,56,I,N,Y,19,w56_m19,5
15/06/21,56,H,Y,N,20,w56_m20,3
15/06/21,56,C,N,N,21,w56_m21,5
15/06/21,56,H,Y,N,23,w56_m23,4
15/06/21,56,C,N,N,24,w56_m24,6
15/06/21,56,I,N,Y,25,w56_m25,6
15/06/21,56,H,Y,N,26,w56_m26,5
15/06/21,56,H,Y,N,27,w56_m27,6
29/06/21,58,C,N,N,2,w58_m2,1
29/06/21,58,HI,Y,Y,3,w58_m3,1
29/06/21,58,HI,Y,Y,4,w58_m4,2
29/06/21,58,I,N,Y,5,w58_m5,1
29/06/21,58,HI,Y,Y,6,w58_m6,3
29/06/21,58,C,N,N,7,w58_m7,2
29/06/21,58,HI,Y,Y,8,w58_m8,4
29/06/21,58,I,N,Y,9,w58_m9,2
29/06/21,58,HI,Y,Y,10,w58_m10,5
29/06/21,58,HI,Y,Y,11,w58_m11,6
29/06/21,58,I,N,Y,12,w58_m12,3
29/06/21,58,C,N,N,13,w58_m13,3
29/06/21,58,I,N,Y,14,w58_m14,4
29/06/21,58,H,Y,N,15,w58_m15,1
29/06/21,58,H,Y,N,16,w58_m16,2
29/06/21,58,C,N,N,17,w58_m17,4
29/06/21,58,I,N,Y,19,w58_m19,5
29/06/21,58,H,Y,N,20,w58_m20,3
29/06/21,58,C,N,N,21,w58_m21,5
29/06/21,58,H,Y,N,23,w58_m23,4
29/06/21,58,C,N,N,24,w58_m24,6
29/06/21,58,I,N,Y,25,w58_m25,6
29/06/21,58,H,Y,N,26,w58_m26,5
29/06/21,58,H,Y,N,27,w58_m27,6
3/08/20,11,INV_zp,INV_zp,INV_zp,INV_zp,w11_zp1,1
3/08/20,11,INV_zp,INV_zp,INV_zp,INV_zp,w11_zp2,2
