,X,sampling.week,treatment,Heated,Invasion,Mesocosm,Sample.date,TimeAfterInv,Sample.number,rep,sampling.occasion
wk0-m10,wk0-m10,0,HI,Y,Y,10,19/05/20,0,-1,1,0
wk0-m11,wk0-m11,0,HI,Y,Y,11,19/05/20,0,-1,2,0
wk0-m12,wk0-m12,0,I,N,Y,12,19/05/20,0,-1,1,0
wk0-m13,wk0-m13,0,C,N,N,13,19/05/20,0,-1,1,0
wk0-m14,wk0-m14,0,I,N,Y,14,19/05/20,0,-1,2,0
wk0-m15,wk0-m15,0,H,Y,N,15,19/05/20,0,-1,1,0
wk0-m16,wk0-m16,0,H,Y,N,16,19/05/20,0,-1,2,0
wk0-m17,wk0-m17,0,C,N,N,17,19/05/20,0,-1,2,0
wk0-m19,wk0-m19,0,I,N,Y,19,19/05/20,0,-1,3,0
wk0-m2,wk0-m2,0,C,N,N,2,19/05/20,0,-1,3,0
wk0-m20,wk0-m20,0,H,Y,N,20,19/05/20,0,-1,3,0
wk0-m21,wk0-m21,0,C,N,N,21,19/05/20,0,-1,4,0
wk0-m23,wk0-m23,0,H,Y,N,23,19/05/20,0,-1,4,0
wk0-m24,wk0-m24,0,C,N,N,24,19/05/20,0,-1,5,0
wk0-m25,wk0-m25,0,I,N,Y,25,19/05/20,0,-1,4,0
wk0-m26,wk0-m26,0,H,Y,N,26,19/05/20,0,-1,5,0
wk0-m27,wk0-m27,0,H,Y,N,27,19/05/20,0,-1,6,0
wk0-m3,wk0-m3,0,HI,Y,Y,3,19/05/20,0,-1,3,0
wk0-m4,wk0-m4,0,HI,Y,Y,4,19/05/20,0,-1,4,0
wk0-m5,wk0-m5,0,I,N,Y,5,19/05/20,0,-1,5,0
wk0-m6,wk0-m6,0,HI,Y,Y,6,19/05/20,0,-1,5,0
wk0-m7,wk0-m7,0,C,N,N,7,19/05/20,0,-1,6,0
wk0-m8,wk0-m8,0,HI,Y,Y,8,19/05/20,0,-1,6,0
wk0-m9,wk0-m9,0,I,N,Y,9,19/05/20,0,-1,6,0
wk10-m10,wk10-m10,10,HI,Y,Y,10,28/07/20,0,0,1,1
wk10-m11,wk10-m11,10,HI,Y,Y,11,28/07/20,0,0,2,1
wk10-m12,wk10-m12,10,I,N,Y,12,28/07/20,0,0,1,1
wk10-m13,wk10-m13,10,C,N,N,13,28/07/20,0,0,1,1
wk10-m14,wk10-m14,10,I,N,Y,14,28/07/20,0,0,2,1
wk10-m15,wk10-m15,10,H,Y,N,15,28/07/20,0,0,1,1
wk10-m16,wk10-m16,10,H,Y,N,16,28/07/20,0,0,2,1
wk10-m17,wk10-m17,10,C,N,N,17,28/07/20,0,0,2,1
wk10-m19,wk10-m19,10,I,N,Y,19,28/07/20,0,0,3,1
wk10-m2,wk10-m2,10,C,N,N,2,28/07/20,0,0,3,1
wk10-m20,wk10-m20,10,H,Y,N,20,28/07/20,0,0,3,1
wk10-m21,wk10-m21,10,C,N,N,21,28/07/20,0,0,4,1
wk10-m23,wk10-m23,10,H,Y,N,23,28/07/20,0,0,4,1
wk10-m24,wk10-m24,10,C,N,N,24,28/07/20,0,0,5,1
wk10-m25,wk10-m25,10,I,N,Y,25,28/07/20,0,0,4,1
wk10-m26,wk10-m26,10,H,Y,N,26,28/07/20,0,0,5,1
wk10-m27,wk10-m27,10,H,Y,N,27,28/07/20,0,0,6,1
wk10-m3,wk10-m3,10,HI,Y,Y,3,28/07/20,0,0,3,1
wk10-m4,wk10-m4,10,HI,Y,Y,4,28/07/20,0,0,4,1
wk10-m5,wk10-m5,10,I,N,Y,5,28/07/20,0,0,5,1
wk10-m6,wk10-m6,10,HI,Y,Y,6,28/07/20,0,0,5,1
wk10-m7,wk10-m7,10,C,N,N,7,28/07/20,0,0,6,1
wk10-m8,wk10-m8,10,HI,Y,Y,8,28/07/20,0,0,6,1
wk10-m9,wk10-m9,10,I,N,Y,9,28/07/20,0,0,6,1
wk12-m10,wk12-m10,12,HI,Y,Y,10,11/08/20,0,1,1,2
wk12-m11,wk12-m11,12,HI,Y,Y,11,11/08/20,0,1,2,2
wk12-m12,wk12-m12,12,I,N,Y,12,11/08/20,0,1,1,2
wk12-m13,wk12-m13,12,C,N,N,13,11/08/20,0,1,1,2
wk12-m14,wk12-m14,12,I,N,Y,14,11/08/20,0,1,2,2
wk12-m15,wk12-m15,12,H,Y,N,15,11/08/20,0,1,1,2
wk12-m16,wk12-m16,12,H,Y,N,16,11/08/20,0,1,2,2
wk12-m17,wk12-m17,12,C,N,N,17,11/08/20,0,1,2,2
wk12-m19,wk12-m19,12,I,N,Y,19,11/08/20,0,1,3,2
wk12-m2,wk12-m2,12,C,N,N,2,11/08/20,0,1,3,2
wk12-m20,wk12-m20,12,H,Y,N,20,11/08/20,0,1,3,2
wk12-m21,wk12-m21,12,C,N,N,21,11/08/20,0,1,4,2
wk12-m23,wk12-m23,12,H,Y,N,23,11/08/20,0,1,4,2
wk12-m24,wk12-m24,12,C,N,N,24,11/08/20,0,1,5,2
wk12-m25,wk12-m25,12,I,N,Y,25,11/08/20,0,1,4,2
wk12-m26,wk12-m26,12,H,Y,N,26,11/08/20,0,1,5,2
wk12-m27,wk12-m27,12,H,Y,N,27,11/08/20,0,1,6,2
wk12-m3,wk12-m3,12,HI,Y,Y,3,11/08/20,0,1,3,2
wk12-m4,wk12-m4,12,HI,Y,Y,4,11/08/20,0,1,4,2
wk12-m5,wk12-m5,12,I,N,Y,5,11/08/20,0,1,5,2
wk12-m6,wk12-m6,12,HI,Y,Y,6,11/08/20,0,1,5,2
wk12-m7,wk12-m7,12,C,N,N,7,11/08/20,0,1,6,2
wk12-m8,wk12-m8,12,HI,Y,Y,8,11/08/20,0,1,6,2
wk12-m9,wk12-m9,12,I,N,Y,9,11/08/20,0,1,6,2
wk14-m10,wk14-m10,14,HI,Y,Y,10,25/08/20,0,2,1,3
wk14-m11,wk14-m11,14,HI,Y,Y,11,25/08/20,0,2,2,3
wk14-m12,wk14-m12,14,I,N,Y,12,25/08/20,0,2,1,3
wk14-m13,wk14-m13,14,C,N,N,13,25/08/20,0,2,1,3
wk14-m14,wk14-m14,14,I,N,Y,14,25/08/20,0,2,2,3
wk14-m15,wk14-m15,14,H,Y,N,15,25/08/20,0,2,1,3
wk14-m16,wk14-m16,14,H,Y,N,16,25/08/20,0,2,2,3
wk14-m17,wk14-m17,14,C,N,N,17,25/08/20,0,2,2,3
wk14-m19,wk14-m19,14,I,N,Y,19,25/08/20,0,2,3,3
wk14-m2,wk14-m2,14,C,N,N,2,25/08/20,0,2,3,3
wk14-m20,wk14-m20,14,H,Y,N,20,25/08/20,0,2,3,3
wk14-m21,wk14-m21,14,C,N,N,21,25/08/20,0,2,4,3
wk14-m23,wk14-m23,14,H,Y,N,23,25/08/20,0,2,4,3
wk14-m24,wk14-m24,14,C,N,N,24,25/08/20,0,2,5,3
wk14-m25,wk14-m25,14,I,N,Y,25,25/08/20,0,2,4,3
wk14-m26,wk14-m26,14,H,Y,N,26,25/08/20,0,2,5,3
wk14-m27,wk14-m27,14,H,Y,N,27,25/08/20,0,2,6,3
wk14-m3,wk14-m3,14,HI,Y,Y,3,25/08/20,0,2,3,3
wk14-m4,wk14-m4,14,HI,Y,Y,4,25/08/20,0,2,4,3
wk14-m5,wk14-m5,14,I,N,Y,5,25/08/20,0,2,5,3
wk14-m6,wk14-m6,14,HI,Y,Y,6,25/08/20,0,2,5,3
wk14-m7,wk14-m7,14,C,N,N,7,25/08/20,0,2,6,3
wk14-m8,wk14-m8,14,HI,Y,Y,8,25/08/20,0,2,6,3
wk14-m9,wk14-m9,14,I,N,Y,9,25/08/20,0,2,6,3
wk18-m10,wk18-m10,18,HI,Y,Y,10,22/09/20,0,3,1,4
wk18-m11,wk18-m11,18,HI,Y,Y,11,22/09/20,0,3,2,4
wk18-m12,wk18-m12,18,I,N,Y,12,22/09/20,0,3,1,4
