sampling.week,AveTempC,AveTempH,Ave_tempdiff,DegreeWeeks,Ave_tempdiff_R,M2,M5,M7,M9,M12,M13,M14,M17,M19,M21,M24,M25,M3,M4,M6,M8,M10,M11,M15,M16,M20,M23,M26,M27
0,14.69334335,17.9298532,3.236509854,3.236509854,3,12.5,13.81428571,14,13.78571429,12.55714286,12.94285714,12.85714286,13.4,13.61428571,13.48571429,13.7,13.57142857,12.84285714,14.02857143,14.07142857,14.08571429,12.62857143,12.82857143,13.01428571,13.27142857,13.42857143,13.74285714,13.84285714,13.82857143
1,16.79446429,22.72444264,5.929978355,9.166488209,6,14.60248447,15.39503106,15.45403727,15.27018634,14.27453416,15.1068323,14.99192547,15.00745342,15.2484472,15.02111801,15.40807453,14.88819876,19.43726708,19.49627329,19.50124224,19.40869565,19.45217391,19.54161491,19.44782609,19.4447205,19.44223602,19.46086957,19.48819876,19.46335404
2,17.57624717,24.26079932,6.684552154,15.09646656,7,17.62795031,17.42049689,17.60993789,17.41614907,17.28881988,18.09751553,18.1136646,17.5826087,17.76832298,17.59068323,18.04968944,16.9689441,23.92919255,23.79627329,23.8068323,23.74534161,23.84596273,23.89813665,23.93602484,23.92049689,23.81552795,23.84223602,23.88074534,23.82111801
3,18.19184103,24.16917388,5.977332852,21.02644492,6,16.71677019,17.63229814,17.78509317,17.5863354,16.23913043,16.9310559,16.91987578,17.66086957,17.75590062,17.47204969,17.57888199,17.63354037,23.97888199,23.93975155,23.73043478,23.70062112,23.92732919,23.67701863,23.60993789,24.06521739,23.86770186,23.94782609,23.93229814,24.00248447
4,20.77653633,23.95300787,3.176471548,26.95642327,3,17.99254658,18.71428571,18.86149068,18.6136646,18.06397516,18.30621118,18.43043478,18.91242236,18.85962733,18.72360248,18.89627329,18.7484472,23.91490683,23.87515528,23.90310559,23.74968944,23.93602484,23.85838509,23.89875776,23.92670807,23.86770186,23.90807453,23.93850932,23.88695652
5,22.19484339,23.51522429,1.131755062,32.88640163,1,20.58447205,21.06149068,21.08757764,20.91863354,20.75279503,20.98571429,21.07391304,21.1515528,21.06645963,21.1931677,21.3484472,20.74099379,23.74658385,23.6378882,23.71242236,23.59689441,23.6757764,23.6310559,23.65031056,23.67018634,23.58757764,23.65838509,23.69130435,23.66956522
6,20.16429073,21.24246016,1.078169427,38.81637998,1,21.98745883,23.11427042,23.14888834,23.05872036,22.16971344,22.40400198,22.4902668,23.10322793,22.97089097,23.09797431,23.16656785,22.92131094,23.97559289,23.9388834,23.91801713,23.80722991,23.94833663,23.89623682,23.88041008,23.92961133,23.88094532,23.89079381,23.91559618,23.9384305
7,16.85921145,18.83253906,1.973327608,44.74635834,2,17.98385093,18.14782609,18.3,18.15962733,18.48944099,18.73664596,18.58136646,18.28012422,18.29627329,18.50124224,18.57204969,17.84782609,19.75031056,19.6068323,19.63913043,19.56645963,19.68571429,19.72049689,19.71055901,19.59813665,19.59627329,19.62298137,19.61118012,19.6
8,18.2480614,21.22445029,2.976388889,50.67633669,3,16.54099379,16.42981366,16.67639752,16.60124224,17.11118012,17.30062112,17.13043478,16.53850932,16.75652174,16.83229814,17.01490683,16.11180124,19.13850932,19.05465839,19.09130435,18.95962733,19.14347826,19.12546584,19.12360248,19.04906832,19.0515528,19.04720497,19.0621118,19.0621118
9,19.64016423,23.60017316,3.960008933,56.60631505,4,19.05838509,19.46024845,19.72608696,19.60310559,19.37142857,19.54099379,19.36086957,19.68944099,19.61552795,19.73043478,19.71118012,19.22981366,22.79875776,22.75838509,22.79192547,22.70434783,22.85776398,22.79006211,22.75962733,22.79503106,22.70745342,22.69689441,22.75093168,22.77639752
